relationship_id,subject_id,predicate,object_id,evidence_path,notes
REL-DISCOVERY-VALIDATOR-IMPLEMENTS-SCHEMA,SRC-VALIDATOR-DISCOVERY,implements,SRC-SCHEMA-DISCOVERY-RECORD,Sys4AI/sys_for_ai/discovery.py,Validator enforces the discovery-record contract and authority markers.
REL-DISCOVERY-CLI-EXPOSES-VALIDATOR,SRC-CLI-PHASE1,exposes,SRC-VALIDATOR-DISCOVERY,Sys4AI/sys_for_ai/cli.py,CLI command validate-discovery-record invokes the discovery validator.
REL-DISCOVERY-MAKE-RUNS-VALIDATOR,SRC-MAKE-PHASE1,runs,SRC-VALIDATOR-DISCOVERY,Sys4AI/Makefile,Make target validate-discovery-template validates the controlled discovery template.
REL-DISCOVERY-TEMPLATE-CONFORMS-SCHEMA,SRC-TEMPLATE-RDR,conforms_to,SRC-SCHEMA-DISCOVERY-RECORD,Sys4AI/templates/system_definition/requirements-discovery-record-template.md,Template supplies required sections and draft authority markers.
REL-SYSDEF-SKILL-USES-DISCOVERY-TEMPLATE,system-definition-interview,uses,SRC-TEMPLATE-RDR,Sys4AI/skills/core/system-definition-interview/SKILL.md,System-definition adapter writes discovery records from the controlled template.
REL-CONTEXT45-SKILL-USES-METRICS,system-definition-interview-context-45,uses,SRC-METRICS-SCRIPT,Sys4AI/skills/core/system-definition-interview-context-45/SKILL.md,Context-45 adapter depends on metrics for fail-closed continuation decisions.
REL-CONTEXT45-SKILL-USES-TEMP-PRD-ARCHIVE,system-definition-interview-context-45,uses,SRC-TEMP-PRD-ARCHIVE-SCRIPT,Sys4AI/skills/core/system-definition-interview-context-45/SKILL.md,Context-45 adapter uses archive preflight to preserve stale temp_prd checkpoints before fresh sessions.
REL-AJ-SKILL-SYNC-AUTHORIZES-SKILLS,SRC-AJ-SKILL-SYNC-001,authorizes,system-definition-interview,Sys4AI/control_records/agentjobs/AJ-P1-SKILL-SYNC-001.yaml,AgentJob authorizes local system-definition skill integration under source-first boundaries.
REL-AJ-METRICS-AUTHORIZES-CONTEXT45,SRC-AJ-CODEX-METRICS-ADAPT-001,authorizes,system-definition-interview-context-45,Sys4AI/control_records/agentjobs/AJ-P1-CODEX-METRICS-ADAPT-001.yaml,AgentJob authorizes metrics support needed for context-45 continuation decisions.
REL-AJ-TEMPLATE-AUTHORIZES-RDR,SRC-AJ-SYSTEM-DEFINITION-TEMPLATE-001,authorizes,SRC-TEMPLATE-RDR,Sys4AI/control_records/agentjobs/AJ-P1-SYSTEM-DEFINITION-TEMPLATE-001.yaml,AgentJob authorizes controlled requirements-discovery template creation and validation.
