control_record_id,path,record_type,execution_profile,authority_status,owner,validation_contract_id,allowed_writers,allowed_readers,related_execution_transaction_id,related_legacy_execution_id,supersedes,source_hash,last_validated_at,notes
ctrl_phase1_smoke_agentjob,control_records/examples/phase1_smoke_agentjob.yaml,agentjob,legacy_execution_v0_2,historical,implementation_initialization,contract_agentjob,implementation_initialization_agent,all_agents,,AJ-P1-SMOKE-001,,pending,pending,Existing smoke-test AgentJob
ctrl_skill_sync_agentjob,control_records/agentjobs/AJ-P1-SKILL-SYNC-001.yaml,agentjob,legacy_execution_v0_2,historical,skill_governance,contract_agentjob,skill_integration_agent,all_agents,,AJ-P1-SKILL-SYNC-001,,pending,pending,Skill integration AgentJob
ctrl_codex_metrics_agentjob,control_records/agentjobs/AJ-P1-CODEX-METRICS-ADAPT-001.yaml,agentjob,legacy_execution_v0_2,historical,runtime_session_accounting,contract_agentjob,skill_dependency_adaptation_agent,all_agents,,AJ-P1-CODEX-METRICS-ADAPT-001,,pending,pending,Codex metrics adaptation AgentJob
ctrl_system_definition_template_agentjob,control_records/agentjobs/AJ-P1-SYSTEM-DEFINITION-TEMPLATE-001.yaml,agentjob,legacy_execution_v0_2,historical,system_definition,contract_agentjob,system_definition_template_agent,all_agents,,AJ-P1-SYSTEM-DEFINITION-TEMPLATE-001,,pending,pending,System-definition template AgentJob
ctrl_skill_import_manifest,control_records/examples/skill_import_manifest.yaml,skill_import_manifest,not_applicable,controlled,skill_governance,,skill_integration_agent,all_agents,,,,pending,pending,Existing skill import manifest without executable JSON Schema contract yet
ctrl_handoff_example,control_records/examples/handoff.example.yaml,handoff,not_applicable,historical,implementation_initialization,contract_handoff,implementation_initialization_agent,all_agents,,,,pending,pending,Example handoff
ctrl_completion_receipt_example,control_records/examples/completion_receipt.example.yaml,completion_receipt,not_applicable,historical,implementation_initialization,contract_completion_receipt,implementation_initialization_agent,all_agents,,,,pending,pending,Example completion receipt
ctrl_state_snapshot_example,control_records/examples/state_snapshot.example.yaml,state_snapshot,not_applicable,historical,implementation_initialization,contract_state_snapshot,implementation_initialization_agent,all_agents,,,,pending,pending,Example bounded state snapshot
ctrl_program_state,control_records/program_state.yaml,program_state,portable_execution_transaction_v1,controlled,bounded_execution,contract_program_state,bounded_execution_planner;system_director,all_agents,TX-10-ACTIVE-SURFACE-MIGRATION,,,pending,2026-07-10,Current portable program state after TX-10; next bounded route is TX-11 only.
ctrl_memory_preflight_example,control_records/memory_preflights/memory_preflight_receipt.example.yaml,memory_preflight_receipt,legacy_execution_v0_2,historical,source_first_memory,contract_memory_preflight_receipt_v0_1,memory_engineer;control_loop_engineer,all_agents,,AJ-P1-SKILL-SYNC-001,,pending,pending,Example memory preflight receipt with source and registry inspection evidence
ctrl_selfhost_director_decision,control_records/director_decisions/DDR-P1-SELFHOST-001.yaml,director_decision,legacy_execution_v0_2,controlled,control_loop,contract_director_decision,system_director,all_agents,,AJ-P1-SELFHOST-CONTINUE-KERNEL-001,,pending,pending,Director decision selecting the Phase 5 continue packet kernel AgentJob
ctrl_selfhost_continue_kernel_agentjob,control_records/agentjobs/AJ-P1-SELFHOST-CONTINUE-KERNEL-001.yaml,agentjob_v0_2,legacy_execution_v0_2,historical,control_loop,contract_agentjob_v0_2,control_loop_engineer,all_agents,,AJ-P1-SELFHOST-CONTINUE-KERNEL-001,,pending,pending,Operational AgentJob for Phase 5 continue packet kernel
ctrl_selfhost_continue_kernel_completion,control_records/completions/completion_receipt.example.v0_2.yaml,completion_receipt_v0_2,legacy_execution_v0_2,historical,control_loop,contract_completion_receipt_v0_2,control_loop_engineer,all_agents,,AJ-P1-SELFHOST-CONTINUE-KERNEL-001,,pending,pending,Operational completion receipt for continue kernel finalization
ctrl_selfhost_continue_kernel_handoff,control_records/handoffs/handoff.example.v0_2.yaml,handoff_v0_2,legacy_execution_v0_2,historical,control_loop,contract_handoff_v0_2,control_loop_engineer,all_agents,,AJ-P1-SELFHOST-CONTINUE-KERNEL-001,,pending,pending,Operational handoff after continue kernel finalization
ctrl_selfhost_continue_kernel_state_snapshot,control_records/state_snapshots/state_snapshot.example.v0_2.yaml,state_snapshot,legacy_execution_v0_2,historical,control_loop,contract_state_snapshot,control_loop_engineer,all_agents,,AJ-P1-SELFHOST-CONTINUE-KERNEL-001,,pending,pending,Bounded state snapshot after continue kernel finalization
