handoff_id,path,status,producing_agentjob_id,next_recommended_role,next_agentjob_id,source_ids,supersedes,source_hash,last_validated_at,notes
HANDOFF-P1-SELFHOST-CONTINUE-KERNEL-001,control_records/handoffs/handoff.example.v0_2.yaml,completed,AJ-P1-SELFHOST-CONTINUE-KERNEL-001,validator_engineer,AJ-P1-BOUNDARY-VALIDATORS-001,SRC-AJ-SELFHOST-CONTINUE-KERNEL-001,,pending,2026-07-06T00:00:00Z,Finalized by continue-finalize
HANDOFF-P1-SELFHOST-ACCEPTANCE-001,control_records/handoffs/HANDOFF-P1-SELFHOST-ACCEPTANCE-001.yaml,completed,AJ-P1-SELFHOST-ACCEPTANCE-001,system_director,,SRC-AJ-SELFHOST-ACCEPTANCE-001;SRC-SELFHOST-ACCEPTANCE-REPORT,,pending,2026-07-06T00:00:00Z,Terminal acceptance handoff for the self-hosting memory and continue implementation plan
HANDOFF-SFADEV-05-RUNTIME-SKILL-RECONCILIATION-001,control_records/handoffs/HANDOFF-SFADEV-05-RUNTIME-SKILL-RECONCILIATION-001.yaml,completed,AJ-SFADEV-05-RUNTIME-SKILL-RECONCILIATION-001,system_director,,SRC-AJ-RUNTIME-SKILL-RECONCILIATION-001;SRC-ALL-RECS-IMPLEMENTATION-PLAN,,pending,2026-07-07T03:11:28Z,Runtime skill reconciliation handoff for the all-recommendations implementation plan
HANDOFF-SFADEV-01-PRD-INTEGRATION-001,control_records/handoffs/HANDOFF-SFADEV-01-PRD-INTEGRATION-001.yaml,completed,AJ-SFADEV-01-PRD-INTEGRATION-001,implementation_initialization_agent,AJ-SFADEV-02-REGISTRY-SCHEMA-EXPANSION-001,SRC-AJ-PRD-INTEGRATION-001;SRC-ALL-RECS-IMPLEMENTATION-PLAN;SRC-PRD-P0;SRC-PRD-P1;SRC-REG-REQ-TRACE,,pending,2026-07-07T03:28:46Z,PRD integration handoff for the all-recommendations implementation plan
HANDOFF-SFADEV-02-REGISTRY-SCHEMA-EXPANSION-001,control_records/handoffs/HANDOFF-SFADEV-02-REGISTRY-SCHEMA-EXPANSION-001.yaml,completed,AJ-SFADEV-02-REGISTRY-SCHEMA-EXPANSION-001,user_wants_elicitor,AJ-SFADEV-03-DISCOVERY-GATE-001,SRC-AJ-REGISTRY-SCHEMA-EXPANSION-001;SRC-ALL-RECS-IMPLEMENTATION-PLAN;SRC-REG-SYSTEM-LAYERS;SRC-REG-ROLES;SRC-REG-ARTIFACT-CONTRACTS,,pending,2026-07-07T03:45:23Z,Registry and schema expansion handoff for the all-recommendations implementation plan
HANDOFF-SFADEV-03-DISCOVERY-GATE-001,control_records/handoffs/HANDOFF-SFADEV-03-DISCOVERY-GATE-001.yaml,completed,AJ-SFADEV-03-DISCOVERY-GATE-001,implementation_initialization_agent,AJ-SFADEV-04-ROLE-GOVERNANCE-001,SRC-AJ-DISCOVERY-GATE-001;SRC-ALL-RECS-IMPLEMENTATION-PLAN;SRC-TEMPLATE-RDR;SRC-VALIDATOR-DISCOVERY;SRC-REG-DISCOVERY-RECORDS,,pending,2026-07-07T03:55:34Z,Discovery gate implementation handoff for the all-recommendations implementation plan
HANDOFF-SFADEV-04-ROLE-GOVERNANCE-001,control_records/handoffs/HANDOFF-SFADEV-04-ROLE-GOVERNANCE-001.yaml,completed,AJ-SFADEV-04-ROLE-GOVERNANCE-001,documentation_librarian,AJ-SFADEV-06-SKILL-LIFECYCLE-001,SRC-AJ-ROLE-GOVERNANCE-001;SRC-ALL-RECS-IMPLEMENTATION-PLAN;SRC-REG-ROLES;SRC-REG-ROLE-SKILL-CROSSWALK;SRC-REG-ROLE-EXECUTION-BINDINGS;SRC-ROLE-VALIDATORS,,pending,2026-07-07T04:07:48Z,Role governance handoff for the all-recommendations implementation plan
HANDOFF-SFADEV-06-SKILL-LIFECYCLE-001,control_records/handoffs/HANDOFF-SFADEV-06-SKILL-LIFECYCLE-001.yaml,completed,AJ-SFADEV-06-SKILL-LIFECYCLE-001,implementation_initialization_agent,AJ-SFADEV-07-CORE-SKILLS-BATCH-1-001,SRC-AJ-SKILL-LIFECYCLE-001;SRC-ALL-RECS-IMPLEMENTATION-PLAN;SRC-REG-SKILL-LIFECYCLE;SRC-DEV-SKILL-REGISTRY;SRC-PRODUCT-CORE-SKILL-MANIFEST;SRC-SKILL-MANIFEST-VALIDATOR,,pending,2026-07-07T04:34:28Z,Skill lifecycle governance handoff for the all-recommendations implementation plan
HANDOFF-SFADEV-07-CORE-SKILLS-BATCH-1-001,control_records/handoffs/HANDOFF-SFADEV-07-CORE-SKILLS-BATCH-1-001.yaml,completed,AJ-SFADEV-07-CORE-SKILLS-BATCH-1-001,implementation_initialization_agent,AJ-SFADEV-08-CORE-SKILLS-BATCH-2-001,SRC-AJ-CORE-SKILLS-BATCH-1-001;SRC-ALL-RECS-IMPLEMENTATION-PLAN;SRC-REG-CORE-SKILL-PROPOSALS;SRC-DEV-SKILL-REGISTRY;SRC-PRODUCT-CORE-SKILL-MANIFEST,,pending,2026-07-07T04:42:23Z,Core skill scaffold batch 1 handoff for the all-recommendations implementation plan
HANDOFF-SFADEV-08-CORE-SKILLS-BATCH-2-001,control_records/handoffs/HANDOFF-SFADEV-08-CORE-SKILLS-BATCH-2-001.yaml,completed,AJ-SFADEV-08-CORE-SKILLS-BATCH-2-001,documentation_librarian,AJ-SFADEV-09-GENERATED-DOCS-001,SRC-AJ-CORE-SKILLS-BATCH-2-001;SRC-ALL-RECS-IMPLEMENTATION-PLAN;SRC-REG-CORE-SKILL-PROPOSALS;SRC-DEV-SKILL-REGISTRY;SRC-PRODUCT-CORE-SKILL-MANIFEST,,pending,2026-07-07T05:07:55Z,Core skill scaffold batch 2 handoff for the all-recommendations implementation plan
HANDOFF-SFADEV-09-GENERATED-DOCS-001,control_records/handoffs/HANDOFF-SFADEV-09-GENERATED-DOCS-001.yaml,completed,AJ-SFADEV-09-GENERATED-DOCS-001,requirements_verifier,AJ-SFADEV-10-END-TO-END-ACCEPTANCE-001,SRC-AJ-GENERATED-DOCS-001;SRC-ALL-RECS-IMPLEMENTATION-PLAN;SRC-REG-DERIVATIVES;SRC-DERIVATIVE-GENERATION,,pending,2026-07-07T05:19:36Z,Generated docs and derivative governance handoff for the all-recommendations implementation plan
HANDOFF-SFADEV-10-END-TO-END-ACCEPTANCE-001,control_records/handoffs/HANDOFF-SFADEV-10-END-TO-END-ACCEPTANCE-001.yaml,completed,AJ-SFADEV-10-END-TO-END-ACCEPTANCE-001,system_director,,SRC-AJ-END-TO-END-ACCEPTANCE-001;SRC-ALL-RECS-FINAL-ACCEPTANCE;SRC-ALL-RECS-IMPLEMENTATION-PLAN,,pending,2026-07-07T05:32:54Z,Terminal acceptance handoff for the all-recommendations implementation plan
