derivative_id,path,derivative_type,source_ids,generation_method,last_generated,status,notes
der_configuration_control_index,docs/generated/configuration_control/index.md,configuration_control_wiki_page,SRC-REG-FORMAT-PROFILES;SRC-REG-CONFIG-SOURCES;SRC-REG-CONTROL-RECORDS,sys_for_ai.derivatives.config_control_wiki:0.1.0,2026-07-06T00:00:00Z,generated_derivative,Configuration and Control Wiki index generated page
der_configuration_control_yaml,docs/generated/configuration_control/yaml-control-records.md,configuration_control_wiki_page,SRC-REG-CONTROL-RECORDS;SRC-REG-VALIDATION-CONTRACTS,sys_for_ai.derivatives.config_control_wiki:0.1.0,2026-07-06T00:00:00Z,generated_derivative,YAML control-record generated page
der_configuration_control_toml,docs/generated/configuration_control/toml-configuration-sources.md,configuration_control_wiki_page,SRC-REG-CONFIG-SOURCES;SRC-REG-VALIDATION-CONTRACTS,sys_for_ai.derivatives.config_control_wiki:0.1.0,2026-07-06T00:00:00Z,generated_derivative,TOML configuration-source generated page
der_validation_contracts_index,docs/generated/validation_contracts/index.md,validation_contracts_catalog_page,SRC-REG-VALIDATION-CONTRACTS,sys_for_ai.derivatives.validation_contracts_catalog:0.1.0,2026-07-06T00:00:00Z,generated_derivative,Validation Contracts Catalog index generated page
der_validation_contracts_by_target,docs/generated/validation_contracts/contracts-by-target.md,validation_contracts_catalog_page,SRC-REG-VALIDATION-CONTRACTS,sys_for_ai.derivatives.validation_contracts_catalog:0.1.0,2026-07-06T00:00:00Z,generated_derivative,Validation Contracts Catalog target grouping generated page
der_role_docs_index,docs/generated/roles/README.md,role_governance_page,SRC-REG-ROLES;SRC-REG-ROLE-SKILL-CROSSWALK;SRC-REG-ROLE-EXECUTION-BINDINGS,sys_for_ai.roles:0.1.0,2026-07-07T04:07:48Z,generated_derivative,Generated role governance index page
der_role_acceptance_engineer,docs/generated/roles/acceptance_engineer.md,role_governance_page,SRC-REG-ROLES;SRC-REG-ROLE-SKILL-CROSSWALK;SRC-REG-ROLE-EXECUTION-BINDINGS,sys_for_ai.roles:0.1.0,2026-07-07T04:07:48Z,generated_derivative,Generated role governance page for acceptance_engineer
der_role_context_memory_knowledge_architect,docs/generated/roles/context_memory_knowledge_architect.md,role_governance_page,SRC-REG-ROLES;SRC-REG-ROLE-SKILL-CROSSWALK;SRC-REG-ROLE-EXECUTION-BINDINGS,sys_for_ai.roles:0.1.0,2026-07-07T04:07:48Z,generated_derivative,Generated role governance page for context_memory_knowledge_architect
der_role_control_loop_agentjob_planner,docs/generated/roles/control_loop_agentjob_planner.md,role_governance_page,SRC-REG-ROLES;SRC-REG-ROLE-SKILL-CROSSWALK;SRC-REG-ROLE-EXECUTION-BINDINGS,sys_for_ai.roles:0.1.0,2026-07-07T04:07:48Z,generated_derivative,Generated role governance page for control_loop_agentjob_planner
der_role_control_loop_engineer,docs/generated/roles/control_loop_engineer.md,role_governance_page,SRC-REG-ROLES;SRC-REG-ROLE-SKILL-CROSSWALK;SRC-REG-ROLE-EXECUTION-BINDINGS,sys_for_ai.roles:0.1.0,2026-07-07T04:07:48Z,generated_derivative,Generated role governance page for control_loop_engineer
der_role_derivative_generator_engineer,docs/generated/roles/derivative_generator_engineer.md,role_governance_page,SRC-REG-ROLES;SRC-REG-ROLE-SKILL-CROSSWALK;SRC-REG-ROLE-EXECUTION-BINDINGS,sys_for_ai.roles:0.1.0,2026-07-07T04:07:48Z,generated_derivative,Generated role governance page for derivative_generator_engineer
der_role_documentation_librarian,docs/generated/roles/documentation_librarian.md,role_governance_page,SRC-REG-ROLES;SRC-REG-ROLE-SKILL-CROSSWALK;SRC-REG-ROLE-EXECUTION-BINDINGS,sys_for_ai.roles:0.1.0,2026-07-07T04:07:48Z,generated_derivative,Generated role governance page for documentation_librarian
der_role_domain_specialist,docs/generated/roles/domain_specialist.md,role_governance_page,SRC-REG-ROLES;SRC-REG-ROLE-SKILL-CROSSWALK;SRC-REG-ROLE-EXECUTION-BINDINGS,sys_for_ai.roles:0.1.0,2026-07-07T04:07:48Z,generated_derivative,Generated role governance page for domain_specialist
